Common Name,Astronomical Name,Meaning,Apparent Magnitude,Absolute Magnitude,Distance (light-years),Spectral Type
Sirius,Alpha Canis Majoris,"Greek: ""scorching""",-1.44,1.45,9,A1 V
Canopus,Alpha Carinae,Greek: pilot of the ship Argo,-0.62,-5.53,313,A9 II
Arcturus,Alpha Bootis,"Greek: ""guardian of the bear""",-0.05,-0.31,37,K0 III
Rigel Kentaurus,Alpha Centauri,"Arabic: ""foot of the centaur""",-0.01,4.34,4,G2 V
Vega,Alpha Lyrae,Arabic: eagle or vulture,0.03,0.58,25,A0 V
Capella,Alpha Aurigae,"Latin: ""little she-goat""",0.08,-0.48,42,K0 III
Rigel,Beta Orionis,"Arabic: ""foot""",0.18,-6.69,773,B8 Ia
Procyon,Alpha Canis Minoris,"Greek: ""before the dog""",0.4,2.68,11,F5 IV
Betelgeuse,Alpha Orionis,"Arabic: ""armpit of the great one""",0.45,-5.14,522,M1.5 Ia
Achernar,Alpha Eridani,"Arabic: ""river's end""",0.45,-2.77,144,B3 V
Hadar (Agena),Beta Centauri,"Arabic: ""ground"" (Latin: ""knee"")",0.61,-5.42,526,B1 III
Altair,Alpha Aquilae,"Arabic: ""the eagle""",0.76,2.2,17,A7 V
Acrux,Alpha Crucis,Greek: comb. of alpha crux,0.77,-4.19,321,B0.5  IV
Aldebaran,Alpha Tauri,"Arabic: ""the follower""",0.87,-0.63,65,K5 III
Spica,Alpha Virginis,Latin: ear of wheat,0.98,-3.55,262,B1 III
Antares,Alpha Scorpii,Greek: rival of Mars,1.06,-5.28,604,M1.5 Iab
Pollux,Beta Geminorum,Greek: immortal Gemini twin brother,1.16,1.09,34,K0 III
Formalhaut,Alpha Piscis Austrini,"Arabic: ""the mouth of the fish""",1.17,1.74,25,A3 V
Deneb,Alpha Cygni,"Arabic: ""tail""",1.25,-8.73,1467,A2 Ia
Mimosa,Beta Crucis,"Latin: ""actor""",1.25,-3.92,352,B0.5 III
Regulus,Alpha Leonis,"Greek: ""little king""",1.36,-0.52,77,B8 IV
Adhara,Epsilon Canis Majoris,"Arabic: ""the virgins""",1.5,-4.1,431,B2 II
Castor,Alpha Geminorum,Greek: mortal Gemini twin brother,1.58,0.59,52,A1 V
Gacrux,Gamma Crucis,Greek: comb. of gamma and crux,1.59,-0.56,88,M3.5 III
Shaula,Lambda Scorpii,"Arabic: ""stinger""",1.62,-5.05,359,B2 IV
