Common Name,Scientific Name,Distance (light years),Apparent Magnitude,Absolute Magnitude,Spectral Type
Proxima Centauri,V645 Cen,4.2,11.05 (var.),15.5,M5.5 V
Rigil Kentaurus,Alpha Cen A,4.3,-0.01,4.4,G2 V
Alpha Cen B,,4.3,1.33,5.7,K1 V
Barnard's Star,,6,9.54,13.2,M4 V
Wolf 359,CN Leo,7.7,13.53 (var.),16.7,M6 V
BD +36 2147,,8.2,7.5,10.5,M2 V
Luyten 726-8A,UV Cet A,8.4,12.52 (var.),15.5,M5.5 V
Luyten 726-8B,UV Cet B,8.4,13.02 (var.),16,M5.5 V
Sirius A,Alpha CMa A,8.6,-1.46,1.4,A1 V
Sirius B,Alpha CMa B,8.6,8.3,11.2,DA
Ross 154,,9.4,10.45,13.1,M3.5 V
Ross 248,,10.4,12.29,14.8,M5 V
Epsilon Eri,,10.8,3.73,6.1,K2 V
Ross 128,,10.9,11.1,13.5,M4 V
61 Cyg A (V1803 Cyg),,11.1,5.2 (var.),7.6,K3 V
61 Cyg B,,11.1,6.03,8.4,K5 V
Epsilon Ind,,11.2,4.68,7,K3 V
BD +43 44 A,,11.2,8.08,10.4,M1 V
BD +43 44 B,,11.2,11.06,13.4,M4 V
Luyten 789-6,,11.2,12.18,14.5,M5 V
Procyon A,Alpha CMi A,11.4,0.38,2.6,F5 IV
Procyon B,Alpha CMi B,11.4,10.7,13,DQZ
BD +59 1915 A,,11.6,8.9,11.2,M3 V
BD +59 1915 B,,11.6,9.69,11.9,M3.5 V
CoD -36 15693,11.7,11.7,7.35,9.6,M1 V
