No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2,WISEA J125948.58+275857.8,12h59m48.5914s,+27d58m58.018s,194.9524643,27.9827828,0.01787,5357.29122446,SLS,G,"IR,Vis",0.11066990890216,24,0,40,12,7,4,0,1,0,0
3,SDSS J125949.06+275833.9,12h59m49.0752s,+27d58m34.176s,194.95448,27.97616,0.016535,4957.06829303,UUN,G,Vis,0.300802364269379,10,0,15,6,3,4,0,1,0,0
4,IC 3998,12h59m46.7785s,+27d58m25.890s,194.9449108,27.9738585,0.031419624,9419.36630839579,SLS,G,"IR,Radio,Vis,Xray",0.606075445980537,137,1,74,32,30,7,5,5,2,0
5,WISEA J125946.94+275930.7,12h59m46.9449s,+27d59m30.790s,194.9456041,27.9918862,0.027659,8291.959595822,UUN,G,"IR,Vis",0.761701091037402,48,0,49,22,12,4,0,1,1,0
6,SDSS J125944.92+275854.2,12h59m44.9100s,+27d58m54.130s,194.937125,27.981703,0.024183,7249.881011814,UUN,G,Vis,0.842209984062382,8,0,11,4,3,4,0,0,0,0
8,SDSS J125951.46+275935.4,12h59m51.4968s,+27d59m35.412s,194.96457,27.99317,0.02355,7060.1123859,UUN,G,Vis,0.953404552783036,12,0,15,7,3,4,0,1,0,0
9,COMAi J125953.491+275855.68,12h59m53.4700s,+27d58m55.441s,194.972792,27.982067,0.021582,6470.120828556,UUN,G,Vis,1.05064985694845,5,0,4,3,2,0,0,0,0,0
10,SDSS J125944.76+275807.1,12h59m44.7760s,+27d58m07.130s,194.93656666667,27.96864722222,0.032923,9870.067094734,UUN,G,Vis,1.1435045377853,11,0,16,6,3,4,0,1,0,0
11,SDSS J125952.18+275946.3,12h59m52.1876s,+27d59m46.363s,194.9674486369,27.9962121295,0.028823,8640.918016934,UUN,G,"Vis,Xray",1.19125957743767,11,0,17,4,2,4,0,1,0,0
12,WISEA J125946.71+280000.4,12h59m46.7222s,+28d00m00.428s,194.9446761,28.0001189,0.0206647,6195.1212068326,SLS,G,"IR,Vis",1.2289868129175,12,0,38,7,1,4,0,1,0,0
